French,English
chercher,search
pensais,thought
aide,help
demande,request
frère,brother
car,because
mettre,to put
laisse,leash
eux,them
parlé,speak
devrait,should
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
parle,speak
attention,Warning
voici,here is
pourrais,could
type,type
train,train
corps,body
endroit,place
yeux,eyes
tiens,here
tellement,so much
suite,after
pardon,sorry
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
eau,water
boulot,job
plutôt,rather
aura,will have
filles,girls
jouer,to play
